ano,id_municipio,incremento,PibPercapita,pib
2018,1718865,0.2,15306,113660623
2018,1718899,0,38903,91188282
2018,1720002,0.2,11389,28790975
2018,1720101,0.4,10112,53150874
2018,1720200,1.1,8836,105746341
2018,1720309,0,9736,46314563
2018,1720804,0.1,11252,102146610
2018,1721208,0.1,12914,295668770
2018,1721307,0,11391,29765709
2018,1722081,0.2,12090,140613090
2018,1722107,0.6,25167,290954395
2018,1700350,0,19053,103534840
2018,1700400,0,21315,151995035
2018,1700707,0,32239,271677185
2018,1701101,0,21573,102279755
2018,1702000,0,22458,192400613
2018,1702406,0,17500,185519909
2018,1702703,0,11276,42070710
2018,1703073,0,12339,56131443
2018,1703107,0,16696,93732053
2018,1703701,0,35362,193607855
2018,1703867,0,80739,348872675
2018,1704105,0,11935,34299962
2018,1705102,0,19250,64179906
2018,1705557,0,13928,67451443
2018,1705607,0,12618,52034609
2018,1706100,0,15059,109929256
2018,1706258,0,25491,43539375
2018,1707009,0,15912,347680692
2018,1707553,0,17527,67322762
2018,1707652,0,32231,170308239
2018,1707702,0,11514,101745023
2018,1709005,0,12488,161618185
2018,1709500,0,25690,2202619836
2018,1709807,0,15353,30353793
2018,1710508,0,13414,99453549
2018,1710904,0,18898,71019504
2018,1711506,0,15700,59958542
2018,1711951,0,9386,39769108
2018,1712009,0,21818,67656557
2018,1712157,0,12539,23723862
2018,1712405,0,11329,42461340
2018,1712702,0,51358,135482422
2018,1713205,0,28348,526299773
2018,1713601,0,22765,178179422
2018,1714203,0,18906,174675262
2018,1715002,0,13060,55045829
2018,1715101,0,12227,52415079
2018,1715150,0,11733,27361432
2018,1715259,0,10827,29210061
2018,1715507,0,18374,20322138
2018,1715754,0,15544,118770191
2018,1716109,0,24316,1230449707
2018,1716208,0,20585,215335602
2018,1716604,0,45449,528257622
2018,1717008,0,11892,53085639
2018,1717800,0,10263,47220995
2018,1717909,0,10574,84181371
2018,1718006,0,10003,31090824
2018,1718204,0,31830,1677465151
2018,1718451,0,21247,56495013
2018,1718659,0,10107,21102455
2018,1718758,0,10160,65715559
2018,1718881,0,15641,52881038
2018,1718907,0,31073,149490093
2018,1719004,0,11320,32080328
2018,1720150,0,13675,21497072
2018,1720259,0,11937,36647831
2018,1720499,0,22803,91599823
2018,1720655,0,28955,155721554
2018,1720853,0,32986,64189917
2018,1720903,0,14648,242256364
2018,1720937,0,10879,23183126
2018,1720978,0,29682,82308564
2018,1721000,0,32294,9425131946
2018,1721109,0,9623,71895455
2018,1721257,0,26431,49161629
