ano,id_municipio,incremento
2014,1301654,1.8
2015,1301654,4.7
2016,1301654,6
2017,1301654,6.1
2018,1301654,12.4
2019,1301654,20
2020,1301654,25.8
2002,1301704,7.6
2003,1301704,10.7
2004,1301704,14.5
2005,1301704,15.8
2006,1301704,4.9
2007,1301704,13.3
2008,1301704,20.8
2009,1301704,5.1
2010,1301704,7.9
2011,1301704,11.2
2012,1301704,8.8
2013,1301704,10.7
2014,1301704,13.5
2015,1301704,9.1
2016,1301704,17.6
2017,1301704,35.3
2018,1301704,48.6
2019,1301704,89.7
2020,1301704,109.5
2002,1301803,6.2
2003,1301803,15
2004,1301803,15.1
2005,1301803,9.3
2006,1301803,1.6
2007,1301803,2
2008,1301803,5.1
2009,1301803,0.8
2010,1301803,4.6
2011,1301803,2.1
2012,1301803,6.6
2013,1301803,6.9
2014,1301803,1.1
2015,1301803,4.5
2016,1301803,5
2017,1301803,2.8
2018,1301803,7.6
2019,1301803,8.2
2020,1301803,8.7
2002,1301852,7.3
2003,1301852,16.6
2004,1301852,5.9
2005,1301852,0.9
2006,1301852,3.5
2007,1301852,3.8
2008,1301852,2
2009,1301852,8
2010,1301852,6.1
2011,1301852,2.8
2012,1301852,1
2013,1301852,2.1
2014,1301852,2.8
2015,1301852,3.7
2016,1301852,1.6
2017,1301852,2
2018,1301852,1.2
2019,1301852,0.8
2020,1301852,2.2
2002,1301902,56.1
2003,1301902,23.5
2004,1301902,29.9
2005,1301902,9.6
2006,1301902,15
2007,1301902,9.3
2008,1301902,27.4
2009,1301902,5.5
2010,1301902,19.2
2011,1301902,17.6
2012,1301902,6
2013,1301902,4.1
2014,1301902,7.9
2015,1301902,6
2016,1301902,8
2017,1301902,15.4
2018,1301902,5
2019,1301902,14.1
2020,1301902,10.3
2002,1301951,5.5
2003,1301951,2.9
2004,1301951,0.6
2005,1301951,2.4
2006,1301951,1.4
2007,1301951,2.1
2008,1301951,1.5
2009,1301951,1
2010,1301951,3.3
2011,1301951,1.6
2012,1301951,1.5
2013,1301951,1.6
2014,1301951,3.2
2015,1301951,1
2016,1301951,0.6
2017,1301951,1.1
2018,1301951,0.9
2019,1301951,1
2020,1301951,1.3
2002,1302009,4.7
2003,1302009,4.1
2004,1302009,1.2
2005,1302009,0.7
2006,1302009,0.3
2007,1302009,0.8
2008,1302009,1.2
2009,1302009,0.3
2010,1302009,1.1
2011,1302009,1.2
2012,1302009,0.4
2013,1302009,1.3
2014,1302009,0.8
2015,1302009,0.8
2016,1302009,0
2017,1302009,1.2
2018,1302009,0.2
2019,1302009,0.9
2020,1302009,0.2
2002,1302108,0.9
2003,1302108,1.5
2004,1302108,0.4
2005,1302108,2
2006,1302108,0.1
2007,1302108,0.4
2008,1302108,1.6
2009,1302108,0.6
2010,1302108,3.7
2011,1302108,1.3
2012,1302108,0.3
2013,1302108,0.5
2014,1302108,0.6
2015,1302108,0
2016,1302108,0.3
2017,1302108,0.7
2018,1302108,1.1
2019,1302108,0.5
2020,1302108,2.3
2002,1302207,8.5
2003,1302207,7.6
2004,1302207,0.5
2005,1302207,2.6
2006,1302207,1.7
2007,1302207,1
2008,1302207,3
2009,1302207,1.9
2010,1302207,3
2011,1302207,0.6
2012,1302207,0.5
2013,1302207,0.4
2014,1302207,3.4
2015,1302207,0.2
2016,1302207,0.9
2017,1302207,0.6
2018,1302207,1.5
2019,1302207,0.4
2020,1302207,0.8
2002,1302306,9.3
2003,1302306,22.2
2004,1302306,1.1
2005,1302306,1.2
2006,1302306,1.1
2007,1302306,1
2008,1302306,4
2009,1302306,0.9
2010,1302306,4.9
2011,1302306,3.1
2012,1302306,0.7
2013,1302306,1.5
2014,1302306,2.6
2015,1302306,1.1
2016,1302306,1.7
2017,1302306,12.7
2018,1302306,1
2019,1302306,12.2
2020,1302306,7.5
2002,1302405,211.8
2003,1302405,429.4
2004,1302405,359.5
2005,1302405,206.3
2006,1302405,239.1
2007,1302405,112.9
2008,1302405,67
2009,1302405,45.1
2010,1302405,40.5
2011,1302405,76.8
2012,1302405,85.4
2013,1302405,126.2
2014,1302405,135.5
2015,1302405,242.6
2016,1302405,317
2017,1302405,283.7
2018,1302405,325.8
2019,1302405,390.2
2020,1302405,391.6
2002,1302504,9.1
2003,1302504,34.8
2004,1302504,7.9
2005,1302504,3
2006,1302504,3.8
2007,1302504,2.2
2008,1302504,2.2
2009,1302504,14.9
2010,1302504,10.8
2011,1302504,8.7
2012,1302504,1.5
2013,1302504,1.8
2014,1302504,3.5
2015,1302504,7.9
2016,1302504,4.2
2017,1302504,2.5
2018,1302504,2
2019,1302504,4.9
2020,1302504,10.9
2002,1302553,2
2003,1302553,8.1
2004,1302553,3
2005,1302553,0.3
2006,1302553,1
2007,1302553,0.4
2008,1302553,0.7
2009,1302553,2.1
2010,1302553,2
2011,1302553,1.7
2012,1302553,0.1
2013,1302553,0.7
2014,1302553,0.1
2015,1302553,3.1
2016,1302553,0.9
2017,1302553,1
2018,1302553,0.5
2019,1302553,1.5
2020,1302553,2
2002,1302603,17.5
2003,1302603,23.5
2004,1302603,12.4
2005,1302603,1.3
2006,1302603,2.3
2007,1302603,2.1
2008,1302603,3
2009,1302603,3.6
2010,1302603,10.3
2011,1302603,2.3
2012,1302603,3.9
2013,1302603,2.3
2014,1302603,2.1
2015,1302603,1.8
2016,1302603,1.2
2017,1302603,2.1
2018,1302603,1.4
2019,1302603,6.1
2020,1302603,6.7
2002,1302702,20.4
2003,1302702,84
2004,1302702,60.3
2005,1302702,103.6
2006,1302702,78
2007,1302702,39.4
2008,1302702,41.5
2009,1302702,30.1
2010,1302702,63.3
2011,1302702,55.6
2012,1302702,61.3
2013,1302702,43
2014,1302702,29.3
2015,1302702,73.4
2016,1302702,86.2
2017,1302702,100
2018,1302702,81.6
2019,1302702,82
2020,1302702,80
2002,1302801,1.3
2003,1302801,13.6
2004,1302801,0.8
2005,1302801,1.5
2006,1302801,0.8
2007,1302801,0.4
2008,1302801,3.1
2009,1302801,0.6
2010,1302801,5.7
2011,1302801,0.7
2012,1302801,0.8
2013,1302801,1.2
2014,1302801,2.2
2015,1302801,0.1
2016,1302801,1.8
2017,1302801,1.1
2018,1302801,1.2
2019,1302801,1.1
2020,1302801,0.9
2002,1302900,27.4
2003,1302900,24.4
2004,1302900,15.5
2005,1302900,9.9
2006,1302900,17.1
2007,1302900,14.1
2008,1302900,20.1
2009,1302900,8.4
2010,1302900,14.3
2011,1302900,14.5
2012,1302900,10.6
2013,1302900,15.7
2014,1302900,13.5
2015,1302900,9.8
2016,1302900,38.6
2017,1302900,20.7
2018,1302900,6.7
2019,1302900,16.2
2020,1302900,21.4
2002,1303007,3.7
2003,1303007,5.8
2004,1303007,4
2005,1303007,5
2006,1303007,2.9
2007,1303007,2.4
2008,1303007,0.8
2009,1303007,4.4
2010,1303007,13.7
2011,1303007,4.2
2012,1303007,2.6
2013,1303007,2.6
2014,1303007,2.7
2015,1303007,4.8
2016,1303007,1.4
2017,1303007,2.1
2018,1303007,5
2019,1303007,3
2020,1303007,3.8
2002,1303106,9.8
2003,1303106,11.2
2004,1303106,11.1
2005,1303106,2.9
2006,1303106,1.8
2007,1303106,0.7
2008,1303106,6.5
2009,1303106,1.4
2010,1303106,2.5
2011,1303106,3.4
2012,1303106,2.3
2013,1303106,0.8
2014,1303106,2.5
2015,1303106,5.9
2016,1303106,3.8
2017,1303106,3.8
2018,1303106,2.1
2019,1303106,6
2020,1303106,6.1
2002,1303205,0.7
2003,1303205,4.6
2004,1303205,1.7
2005,1303205,0.1
2006,1303205,0.2
2007,1303205,1.1
2008,1303205,0.9
2009,1303205,1.9
2010,1303205,2.6
2011,1303205,1.2
2012,1303205,0.4
2013,1303205,0.6
2014,1303205,1.3
2015,1303205,0.6
2016,1303205,0.9
2017,1303205,1.6
2018,1303205,0.7
2019,1303205,4
2020,1303205,0.8
2002,1303304,14.9
2003,1303304,34.1
2004,1303304,52.1
2005,1303304,64.3
2006,1303304,37.1
2007,1303304,44.8
2008,1303304,63
2009,1303304,15.9
2010,1303304,20.6
2011,1303304,18.5
2012,1303304,17.9
2013,1303304,42.5
2014,1303304,25.9
2015,1303304,53.4
2016,1303304,153.6
2017,1303304,127.4
2018,1303304,141.5
2019,1303304,232.4
2020,1303304,111.1
2002,1303403,8.3
2003,1303403,17.1
2004,1303403,2.9
